[AddictionAndRecovery; inCodeSet; _CategoryCodeSet_Services_Main]
[ChZDSUhNMG9nS0VJQ0FnSURRbWQ2U2V3EAE; reviewBody; "Very helpful to the needy"]
[ChZDSUhNMG9nS0VJQ0FnSUQyX1Bfc0ZREAE; reviewBody; "Pick up from northeast community behavior health."]
[ChdDSUhNMG9nS0VJQ0FnSURJck9DYzRnRRAB; reviewBody; "I just got out of here today and I hated how disrespectful the staff was and the food barely cooked and I only got 10 minutes on the phone to call my family and they are very self centered"]
[ChZDSUhNMG9nS0VJQ0FnSUNtbjRubUxREAE; reviewBody; "The security is to young they embarrass u make u dump all ur clothes and stuff on the floor they be Laughing at u talking among their self people life is not funny and they dont know what ppl go through in life i feel like they need older ppl to work  there.. why should u feel embarrass because u need help if u did not need help they would not have a job  someone need to look into this change the security company because the security they have there now is Disrespectful"]
[ChdDSUhNMG9nS0VJQ0FnSUM1NDgzNWdRRRAB; reviewBody; "These providers at Rogers are not good people. They turned me away by saying I am experiencing psychosis based of a situation that is actually a fact. I will be filing a grievance."]
[ChZDSUhNMG9nS0VJQ0FnSURBbHJYRlV3EAE; reviewBody; "Love working there."]
[ChZDSUhNMG9nS0VJQ0FnSUN3bk5TcWRBEAE; reviewBody; "This place I talked about my issues and had support to get my life in order and adjust my attitude and behavior."]
[ChdDSUhNMG9nS0VJQ0FnSURBNV9idjVRRRAB; reviewBody; "they noscoped my father"]
[ChdDSUhNMG9nS0VJQ0FnSUNBMDZyY2x3RRAB; reviewBody; "It was a good experience"]
[ChdDSUhNMG9nS0VJQ0FnSURCNzZqeTRnRRAB; reviewBody; "Los estáffno tien orden se pasan discutiendo con lo residentes dan las 10 y 11 de la noche dejan q los residentes q escuchen música alta ruidos de madrugadas no consideran los q trabajan estobes todos los días supuesto cristianismo en este lugar pero parece la casa del Diablo empezando con los duenos o encargado y terminando con los staff roban entre ellos mismo los estaff te tratan como basura por q eres homles y cuando vienen voluntarios a ayudar y servir ellos se portan como los mejores estaff del Mundo ni descansar los recientes pueden es una tortura todas las noches"]
[ChdDSUhNMG9nS0VJQ0FnSURRcHZtNHhBRRAB; reviewBody; "I don't know about the Philadelphia hospital, but the Boston VA Healthcare treated my husband tremendously.  I have nothing but great admiration for them, but the Philadelphia VA's office are downright evil liars!  BURN IN HELL, LUCY FILIPOV."]
[ChZDSUhNMG9nS0VJQ0FnSURnb1BxQ1JnEAE; reviewBody; "I like the open design of the offices. They also have an exercise room on the premises. No excuses!"]
[ChdDSUhNMG9nS0VJQ0FnSUNvODdUODJnRRAB; reviewBody; "Horrible place. Do not send your worst enemy here. The staff physically abuse the children in there. Then lie to the parent about everything. The staff here have stolen my daughter's clothes then told me I was lying and never dropped them off. The kitchen was disgusting, food still on the floor from 2 days before. The staff was very very rude as well. Please do not send your worst enemy here its that bad"]
[ChdDSUhNMG9nS0VJQ0FnSUNobkllUThnRRAB; reviewBody; "My son have been suffering from add, and adhd he has seen about 2 previous therapist and no one seem to connect with him I can say that even through the challenges that he gives his therapist sofia kovacevic she works with him in an amazing way I am happy that she has help him open up about how he feels and what he wants she is an amazing therapist and I am so happy that we were able to connect with her. Thank you so much ."]
[ChZDSUhNMG9nS0VJQ0FnSURKaDg3M2V3EAE; reviewBody; "The staff stole my expensive sweater. And took my walker and gave me a dirty wheelchair full of cobwebs, I loss the use of my legs because of it. The staff treated my bad.  I don’t recommend this mental hospital to anyone."]
[ChZDSUhNMG9nS0VJQ0FnSUNBb09LcERBEAE; reviewBody; "Good place"]
[ChZDSUhNMG9nS0VJQ0FnSURHaGRqd0xREAE; reviewBody; "DO NOT send your child to this place! Very unprofessional staff!  Worst experience ever! Never got a phone call from a doctor or even a therapist. Patients constantly arguing, no good especially when already having mental issue’s!! As well as sitting over an hour waiting for staff to let my daughter out of the unit she is in! Ridiculous!!"]
[ChZDSUhNMG9nS0VJQ0FnSUNsbVlHMURBEAE; reviewBody; "Erick is the best like I said they put the aw in awesome"]
[ChdDSUhNMG9nS0VJQ0FnSURXcnBEZm1nRRAB; reviewBody; "Eric and all the staff at Nova Care are Awesome!  They are very attentive and thorough, as well as positive and personable.  They also play great music!"]
[ChdDSUhNMG9nS0VJQ0FnSUNPemF2UjBRRRAB; reviewBody; "U have some good staff and u have some that shouldn't be working there that's doesn't have a heart for there job ."]
[ChdDSUhNMG9nS0VJQ0FnSUQtbEpDV2x3RRAB; reviewBody; "My friend appeared here after having a psychotic breakdown and disappearing. Despite a missing persons report, it was days before we were told where he was. Terrible conditions has worsened his mental state."]
[ChdDSUhNMG9nS0VJQ0FnSURSc3JQMTRRRRAB; reviewBody; "No idea. I was there for an interview with the city of Philadelphia"]
[ChZDSUhNMG9nS0VJQ0FnSUNscFo3a1Z3EAE; reviewBody; "Great"]
[ChdDSUhNMG9nS0VJQ0FnSURJX3JxemlnRRAB; reviewBody; "Very nice place. Most of the staff are there to help you. Very good groups fairly clean. Food is good. The doctor who does ECT is the best one around. Did my treatment for that here. Only ever was on the mood disorder unit. Biggest down fall no private rooms all rooms have three beds and as a trauma victim it's very hard to deal with that. Hopefully the new building will have some. Overall very nice place if u can handle have two other people in ur room and the best place to get ECT."]
[ChdDSUhNMG9nS0VJQ0FnSURzNklQTXdnRRAB; reviewBody; "Blessed"]
[ChdDSUhNMG9nS0VJQ0FnSUNhekotQjN3RRAB; reviewBody; "Prayer is very much needed🙏🏾 the people out there are in need of help. The drugs 💉 is off the hook and they just don't care about there life, drugs is there life. Some did give there life to Jesus Christ and some just didn't care. Please those of you that love Jesus please let's pray that God will bless in that area. Thank you.  Louis.G😇🙏🏾"]
[ChZDSUhNMG9nS0VJQ0FnSURnNWNDUVR3EAE; reviewBody; "Cool people. You can be you and learn alot about yourself and others as well"]
[ChZDSUhNMG9nS0VJQ0FnSUNPbk9fQmFREAE; reviewBody; "If your trying to get food for you and a pet this is the place you can go unfortunately, the food truck was running late"]
[ChZDSUhNMG9nS0VJQ0FnSUN3NGFEX2JBEAE; reviewBody; "Worst behavioral health practice known to man. I have never been to a psych practice that been so out of pocket. This place is never on top of their work. For the last 4 months the dr is never in on my appointment day so they call me to ask for my pharmacy number and takes them almost 1.5 days to have it called in and I have to take off work for the appointment because you never know how long your going to wait. I waited about 2hrs before when the dr was actually there. Another thing is they change your therapist after you get comfortable with confiding in him/her. I asked to see my therapist and they say oh we have to find you a new one because they no longer work her, i also had one that they let go because he needed more traning. You literally have to stay on top of them. They barely speak any english.  Im on the verge of going somewhere else because this place makes my anxiety worse than it already is. Take my word and find somewhere else who cares."]
[ChZDSUhNMG9nS0VJQ0FnSUNvd2RqalV3EAE; reviewBody; "Iam getting all my stuff stolen and they dont care"]
[ChZDSUhNMG9nS0VJQ0FnSUMtMXRPVmV3EAE; reviewBody; "Six months staying here in the shelter can get you housing in most cases"]
[ChZDSUhNMG9nS0VJQ0FnSURVeExLOU9nEAE; reviewBody; "Not a good shelter"]
[ChdDSUhNMG9nS0VJQ0FnSURNMEx1QjR3RRAB; reviewBody; """I get that everyone's experience will vary, but honestly, this place saved my life. The entire staff were nothing but kind. As I read most of these reviews, I severely question them. You're not getting the whole story. It's mostly junkies who didn't get their way in some form or fashion, and then sensationalize it. The ones about doctors discharging folks even when they claim they're suicidal - well clearly you weren't suicidal if you're here to write about it? They are professionals and they know when they're dealing with fakers and the real dealIf you are truly going through a hard time, and are suicidal, come here. You won't regret it. I was only in the waiting room for 6 hours before I got to a floor."""]
[ChZDSUhNMG9nS0VJQ0FnSUNhaS1MR2VBEAE; reviewBody; "Welfare patients only. Just one of many mental health facilities that refuse to take normal paid insurance. Rediculous! Everyone, at one time or another needs help for a mental Health crisis!!!!!!"]
[ChZDSUhNMG9nS0VJQ0FnSUR3X083ek5BEAE; reviewBody; "You are never left the same."]
[ChZDSUhNMG9nS0VJQ0FnSURZaHJXQWJREAE; reviewBody; "No just no..nice library but not a park for kids drug infested"]
[ChZDSUhNMG9nS0VJQ0FnSUNvMTlIdGNBEAE; reviewBody; "Great care to vets"]
[ChdDSUhNMG9nS0VJQ0FnSUN3dV9DN193RRAB; reviewBody; "I wish I could give zero, my boyfriend had to live here for a while and this place does not care about any of your needs they are not bound by the protocols of the city so they take that as a opportunity to treat less fortunate people any way they please. Showers stop at 9, no matter if it's raining or really cold out the residents MUST leave every morning a 7am even if you work, they don't house anyone that works overnight, they kick you out the building on national holidays such as Christmas and the staff there are homeless men themselves living on the premises  and are only concerned with securing their own bed, it's nasty, they don't feed you good and it's the closest thing to being in jail. Please never send anyone here, and if you know someone who lives here get them out asap as their situation can only get worse here. Crazy, they claim to be a \"Christian based\" organization, yeah...ok."]
[ChdDSUhNMG9nS0VJQ0FnSUNRa2EtTTN3RRAB; reviewBody; "I go there and the staff is so loving and caring... They help with everything Yu may need from physical to emotional and mental help"]
[ChdDSUhNMG9nS0VJQ0FnSUN3X3RXdXdBRRAB; reviewBody; "They are willing to help you if you are willing to help urself"]
[ChdDSUhNMG9nS0VJQ0FnSUMwM1llSmd3RRAB; reviewBody; "They help in lots of ways for ppl who are homeless n what not . This place is good for all ages that may need a helping hand"]
[ChZDSUhNMG9nS0VJQ0FnSURnNG9YVEh3EAE; reviewBody; "Landlords be aware. Their client did thousands in damages and they will not cover costs."]
[ChdDSUhNMG9nS0VJQ0FnSURJOC0tdmhRRRAB; reviewBody; "Buried my brother"]
[ChZDSUhNMG9nS0VJQ0FnSURxdTZEWE9BEAE; reviewBody; "As a kid I went to this library all the time now I wouldnt even step foot on this property its so disgusting all the 💉 and drug addict just driving by Kensington is nasty it feels like your gonna catch something just driving having your windows down stay far away"]
[ChZDSUhNMG9nS0VJQ0FnSURNOTVqSWNREAE; reviewBody; "Staff steal from your rooms and take donations that are for clients"]
[ChdDSUhNMG9nS0VJQ0FnSUNRc2JqSS1RRRAB; reviewBody; "You people crack me up. The only reason you have to pay money is for the deductible of YOUR INSURANCE. Haha how can you be mad at a facility when u should be mad at your insurance. The only reason this place wouldn't work would be because said person doesn't want to help themselves. Grow up people seriously be"]
[ChZDSUhNMG9nS0VJQ0FnSURwdTh2VWNnEAE; reviewBody; "It's OK"]
[ChZDSUhNMG9nS0VJQ0FnSUM4a3EzaEdBEAE; reviewBody; "It is Now November 2023, and I can say that we are back in motion with after school Leader and the teen La's to help with homework homework help, and our free after school lunch program to give kids a chance to get something in their stomachs before going home to dinner is back as well. Just come on in and see what we can help you with..."]
[ChZDSUhNMG9nS0VJQ0FnSUN3cDQtVEd3EAE; reviewBody; "The Pizza 🍕"]
[ChdDSUhNMG9nS0VJQ0FnSURrX3NIeHRRRRAB; reviewBody; "I've been going here all of my adult life! Great place with great service. Love Doctor Gross!"]
[ChdDSUhNMG9nS0VJQ0FnSUNJdm9QcnN3RRAB; reviewBody; "Was a great resource, but last time there they treated me like i had never been there before... really turned me off. Not trans friendly since Melanie left. No support, unless your gay with HIV... guess thats where the $$$ is."]
[ChZDSUhNMG9nS0VJQ0FnSUNNaDhuWkZBEAE; reviewBody; "Diversity."]
[ChZDSUhNMG9nS0VJQ0FnSUNCc01fQ1NBEAE; reviewBody; "They provide meals daily for lunch and the provide dinner atleast 3 times a week.  They provide a large amount of food that you will surely get full by.  They do have restroom and the staff are nice.  They also give out peanut butter and jelly sandwiches to go and usually ab sweet treat."]
[ChdDSUhNMG9nS0VJQ0FnSURNaUlQVTZ3RRAB; reviewBody; "Great Emergency Shelter but not very clean or safe."]
[ChdDSUhNMG9nS0VJQ0FnSUNLa2RqejFRRRAB; reviewBody; "Wonderful organization doing really great important work. Professional & thoughtful staff on every level!"]
[ChZDSUhNMG9nS0VJQ0FnSUMydUlxZkh3EAE; reviewBody; "Close but the lady on the phone was very helpful"]
[ChZDSUhNMG9nS0VJQ0FnSUNZeklyd2VnEAE; reviewBody; "I have tried to get case management from them for months but constantly got the run-around. I am transitioning and just got out of jail and they told me \"considering the circumstances, you wouldn't be a good fit\"."]
[ChdDSUhNMG9nS0VJQ0FnSUNJbmQ2bXlBRRAB; reviewBody; "They always feed you a good lunch and usually have a good selection of clothes for those in need of that kind of stuff"]
[ChdDSUhNMG9nS0VJQ0FnSUNtdC1QcmpRRRAB; reviewBody; "McPherson Square is still beautiful, even though its not the nicest area."]
[ChZDSUhNMG9nS0VJQ0FnSUNVd1AySkxnEAE; reviewBody; "Awsome"]
[ChdDSUhNMG9nS0VJQ0FnSUM4d05mZGpBRRAB; reviewBody; "I dont like it but the therapy is good tho"]
[ChZDSUhNMG9nS0VJQ0FnSURRMV9xZUtBEAE; reviewBody; "My husband was sent there because he was suicidal . He was supposed to stay for six days at least . They released him after three days with no references to assist /support him in the future . He killed himself within a week . I frantically tried to get him help for days ,no support .  My life is in ruins . He said it was dreadful there ."]
[ChdDSUhNMG9nS0VJQ0FnSURLOVlIVl9BRRAB; reviewBody; "Went for my COVID vaccine, staff is fast and friendly. Keep up the good work. Thanks."]
[ChdDSUhNMG9nS0VJQ0FnSUNockpERWlBRRAB; reviewBody; """There are some of the best therapists at this facility. They are caring, educated and life skilled. If there is something that you need that will help your mental health recovery  and they don't have it,  they will research resources and refer you. I haven't had any facility work as hard as they do to help their clients.  And I've been to a fewThanks BBH you're  the best!"""]
[ChZDSUhNMG9nS0VJQ0FnSURRbTVHdVhREAE; reviewBody; "Muy bueno"]
[ChdDSUhNMG9nS0VJQ0FnSUMtMTcyVmlnRRAB; reviewBody; "You don't know a good meal until after you've start eating, and you don't know good therapy until after you've healed.  I didn't get needed surgery on my shoulder until five months after an injury, meaning there was nearly four months where all the adjacent muscles atrophied.  Erik and his crew immediately started with techniques (prior to surgery) to minimize further damage and to prep me for the surgery.  After surgery care was great with a good variety of techniques, and when insurance ceased treatments, NovaCare made sure I was supplied with exercises and stretches to continue my treatment after I left.  While the surgery fixed the problem, I credit a large part of my functionality to the friendly and more-than-great therapists at NovaCare."]
[ChdDSUhNMG9nS0VJQ0FnSURjOHVqMGlnRRAB; reviewBody; "Didn't stay long.  Many stores were closed."]
[ChdDSUhNMG9nS0VJQ0FnSURwdTh2dWlBRRAB; reviewBody; "Slow process but needed in the city"]
[ChZDSUhNMG9nS0VJQ0FnSURzb2R1SFl3EAE; reviewBody; """The center has an agenda, don't you forget it. Not so much a specialty, but an agendaI have had the experience that they will push me into Anti Retro virals for HIV but not address a simple tonsil infection or rashFor years, I went there for refills and treatment of Insomnia, Depression, etc. They pushed me away then. Went somewhere else after being treated after needing dosage changesNow, having treatment for the most mundane issues takes multiple, multiple visits back and forth with little to no communication from the physician through the portal, which was all the rage 10 years agoIs this really the new generation of medical care? Playing portal tag back and forth with a physician who went on vacation and didn't forward his messages? It used to be such a nice placeToo much emphasis on pronouns rather than medicine. The medical center hides behind liability in dragging fairly simple medical problems out for months."""]
[ChZDSUhNMG9nS0VJQ0FnSURHZ1p5MFBBEAE; reviewBody; "My family totally have a ball at this place . We had a 70s Thanksgiving  party. And we will be booking this place for future events."]
[ChdDSUhNMG9nS0VJQ0FnSURCaVlEYl93RRAB; reviewBody; "sum of the little girls is weird ash"]
[ChdDSUhNMG9nS0VJQ0FnSURHbVlmQXd3RRAB; reviewBody; "Place is a joke"]
[ChdDSUhNMG9nS0VJQ0FnSURROW95WDdRRRAB; reviewBody; "I love this place.... The staff is AWESOME"]
[ChdDSUhNMG9nS0VJQ0FnSUNnc3JMdjdRRRAB; reviewBody; "This place saved my life got me off the street and put me in a house I don't know where I would be without them"]
[ChdDSUhNMG9nS0VJQ0FnSUQwcnVTczFBRRAB; reviewBody; "Hreat place to drop off clothing for the homeless! The people are professional,  kind, respectful and caring.  Do your duty and pitch in to help mankind!  God bless"]
[ChZDSUhNMG9nS0VJQ0FnSUN4N3M3TmJBEAE; reviewBody; """God Bless You all the donors and the Team . Especially whom coming to this beautiful placeLove St John Hospice ❤ 💙 🙏🙏🙏"""]
[ChZDSUhNMG9nS0VJQ0FnSUN3NU1QSkN3EAE; reviewBody; "Good area"]
[ChZDSUhNMG9nS0VJQ0FnSUNBcmZ5MkhREAE; reviewBody; "Horrible should be torn dowm"]
[ChdDSUhNMG9nS0VJQ0FnSURpbXJXLXB3RRAB; reviewBody; "I love philly fifth.no complaints from me at all."]
[ChZDSUhNMG9nS0VJQ0FnSURoMHZYclB3EAE; reviewBody; """1 Star:  Great if need to meet court requirement and quit later without incurring high costFinancials: you sign up and pay a co-payment.  If you are in group and one on one therapy, these expenses add up.  What most people do not realize is that the program lasts approximately 18-24 months.  Collectively you are agreeing to start a program that will indefinitely cost you THOUSANDS of $Further Lack of Clarity:  There seems to be various forms about disclosures (operations requirement), but no specifics, outline or syllabus for the program, leaving things vague.  Families are lost without directionLack of Policy:  There seems to be unclear policies at this office that change like the windLack of Support for Family: There is no support for significant others or families.  This seems strange given the reason one would start the program in the first place.  As mentioned, this is only good for the courtsMissing the Mark:  I was told if I had concerns as a spouse, I could contact someone who was not my spouses therapist  and they would relay a message.  This is clearly a tone deft practice that ignores the victim.  The worst thing you could ask someone to do is repeat themselves to strangers.  No support services were offered to me as a spouse and victim of domestic violence.  This further confirms to the victim, there is 100% nothing they can do and creates hopelessnessLicensing & Lack of True Professionals:  IF you look on the website, please note how many “LSW, social workers” appear on the website under staff.  Seeing how dangerous domestic violence is and how other mental health issues can go hand in hand, I do not believe they can direct anyone to anything else other than “talk” therapy.  No mental health evaluations are conducted.  No other treatment is referred or provided such a medicationLack of References:  No references were ever provided.  It would be nice to hear from families or past participants how the program has benefited them.  Then again, if there wasn’t any, of course this wouldn’t be offeredProgress Made in OVER 6 MONTHS:  Participants will learn why they do the things they do which seems great and exciting at first.  However, this will avail them opportunities to provide excuses to their partnersSurvey: Participants are asked to complete a survey.  I’m sorry is this not a business and are you not providing a service?  I encourage all past recipients and their spouses to write PUBLIC reviews.  They likely won’t, because it’s embarrassing to do so.  Keeping the reviews “in house” doesn’t help anyoneHusbands therapist, WHEN we worked with him, was an amazing guy limited by the lack of frame work of the program.  Issue is truly the programs lack of training of their staff and lack of organizationAdditionally,  domestic abusers tend to manipulate and lie.  Without involvement from victims, this program can go on forever without ever addressing issues.  In turn, this process can destroy familiesPlease keep in mind that few programs like this exist across the country.  The reason for this is because domestic violence rehabilitation has low success rates and is not clinically proven to stop behaviorAttend at your own riskThe Courdea website in comparison to results, feels like a diet pill infomercial that prays upon people’s deepest desires…. But hey, I hope you are the next before and after middle aged pant size dropping mom or dad."""]
[ChdDSUhNMG9nS0VJQ0FnSUR4MU5uYXN3RRAB; reviewBody; "This location has been such a blessing in disguise for me. I regret not coming here sooner. I speak for my own experience. My therapist connects with me on a deep level, I feel comfortable with her, and I have the ability to see her more often due to my insurance than I have been for any other therapist I've seen out of pocket. Its close to my neighborhood, and I can be seen in person or over the phone which allows me more flexibility to get the help I need. Very grateful for the therapist I've met through here."]
[ChZDSUhNMG9nS0VJQ0FnSUNDOGVlVkdBEAE; reviewBody; "Needs to be cleaned up"]
[ChZDSUhNMG9nS0VJQ0FnSURNdGJEVGVBEAE; reviewBody; "Huge charity events once a month with packing, shipping, and helping. There's also a break room and event services"]
[ChdDSUhNMG9nS0VJQ0FnSUR5aUpxbTJBRRAB; reviewBody; "Great service. Nice and component people."]
[ChdDSUhNMG9nS0VJQ0FnSUNJeWZ5LXJBRRAB; reviewBody; "Dirty, ignorant and unprofessional"]
[ChdDSUhNMG9nS0VJQ0FnSURBN01MUXlBRRAB; reviewBody; "This place has helped me from the bottom to the top! I'm very grateful for the help I've received from the Philly VA as  a disabled veteran with ptsd. Your new life begins here!"]
[ChdDSUhNMG9nS0VJQ0FnSURZbGR5OWdBRRAB; reviewBody; "I can't complain about the care, it's good and it's nearly free for me, a veteran. The problem can be the wait time, the VA system is notorious for long wait times, there have even been television stories about it."]
[ChdDSUhNMG9nS0VJQ0FnSUMwczdINnhBRRAB; reviewBody; "Very 👍 breakfast 👎 bad by the way"]
[ChdDSUhNMG9nS0VJQ0FnSUNDeGRuQXp3RRAB; reviewBody; "My young teenage son, whose emotional maturity is younger, has been at your facility for a week and in that entire time, the psychiatrist I was told that was assigned to my son, Dr. Salaam, hasn't bothered to call me at all.  Not to discuss what brought him there, his history, or even his meds.  I've asked a couple of people to please tell the psychiatrist I would appreciate a call.  In my last conversation with my son's caseworker, who didn't really have a whole lot to say, especially when my son refused to participate in our first family session, I asked her if the psychiatrist has even evaluated my son, had diagnosed him (since so many psychiatrists come up with different diagnoses even though some of the core ones remain), if he had any recommendations yet.  She told me he had listed a  few diagnoses, none of which included the core diagnoses my son has had since he was still a toddler.  He has significant history of trauma including developmental and PTSD, yet no trauma diagnoses was made even though I gave ample history to the weekend person who called me the day after my son's arrival for his history.  I was impressed with your hospital and staff upon arrival and the one and only time I got to speak to my son for a few minutes he mentioned that he was being treated well and the food was OK.  But not hearing from the psychiatrist within my son's first week there is unconscionable and causing me to question my child's care there.  Is this standard procedure at Friends?  I have two children with significant trauma, mental, and behavioral health challenges that  have been in behavioral health hospitals many times and I've always received a call from the psychiatrists within 1 to 3 days after admission.   As a parent, I'm frustrated and disappointed.  It's never easy to send your child to one of these places and you count on professionals to work with you to support your child and you."]
[ChZDSUhNMG9nS0VJQ0FnSUQ2c09Hc0hREAE; reviewBody; "ALWAYS A PLEASURE TO VISIT. SINCE THE GANG WAR DAYS. SHOUT OUT TO MS. PRICE,PETE, ZACHARY CLAYTON,DONNIE AND THE STAFF. WE NEED TO OPEN THE GYM AND THE SALVATION ARMY AGAIN.  CORPS COMMUNITY CENTER. COMMUNITY IS AN IMPORTANT WORD HERE.  OPEN UP THE GYM. FIX THE COURTS OUTSIDE OPEN THE WEIGHT ROOM ETC"]
[ChdDSUhNMG9nS0VJQ0FnSUNDcUtQMmd3RRAB; reviewBody; "good work"]
[ChZDSUhNMG9nS0VJQ0FnSURLM08tTEZnEAE; reviewBody; "This place is overrun with drug addicts"]
[ChdDSUhNMG9nS0VJQ0FnSURJanNmal9nRRAB; reviewBody; "Providing housing first and restoring lives of the chronically homeless"]
[ChdDSUhNMG9nS0VJQ0FnSUMwcklXNzF3RRAB; reviewBody; "I went to this place for over a year and a half. My therapist was great but the psychiatrists were always a problem. Never knowing what's going on, one of them downright rude. I left town for 9 weeks and came back, went through intake, waited around for 6 weeks and was never assigned to a therapist. I was going through hell at the time so this was particularly bad. Director calls me, turns out there are no therapists available? It's a good thing I'm not suicidal."]
[ChdDSUhNMG9nS0VJQ0FnSURnOElDM3JRRRAB; reviewBody; "Could be better.  However could be a lot worse. I count my blessings"]
[ChZDSUhNMG9nS0VJQ0FnSURBajhYTVF3EAE; reviewBody; """I've had no issues with the service in Philadelphia. They are aggressive in follow-up and I am please with the smooth operation of the GI  / RAD clinics, pharmacy and blood draw unit. Also like the convenience of the Horsham clinicRetired in 1999 and experienced no problems during my initial retirement physical."""]
[ChZDSUhNMG9nS0VJQ0FnSURndU5fM1V3EAE; reviewBody; "Emmanuel Alvarez Torres😍😍😍😍"]
[ChdDSUhNMG9nS0VJQ0FnSUNJcWEycHJRRRAB; reviewBody; "What an organization! Incredible programs that empower individuals to create change. Volunteer here for sure!"]
[ChZDSUhNMG9nS0VJQ0FnSURRMWM3ekd3EAE; reviewBody; "The food is excellent"]
[ChdDSUhNMG9nS0VJQ0FnSUNHM3RxQTVBRRAB; reviewBody; "Very disorganized, no one seems to know what the other is doing!"]
[ChZDSUhNMG9nS0VJQ0FnSUNoN0wyUGZnEAE; reviewBody; "Wonderful service organization."]
[ChZDSUhNMG9nS0VJQ0FnSUNsNFk2dklBEAE; reviewBody; "Very best case workers they work very kindly and fully from their hearts 💕"]
[ChZDSUhNMG9nS0VJQ0FnSUN5MUplWGRnEAE; reviewBody; "Go there if u don't care. Just remember D.A.R.E"]
[ChdDSUhNMG9nS0VJQ0FnSUNRNTluVXNBRRAB; reviewBody; "IT HELPS WITH OUR RECOVERY. 2015"]
[ChZDSUhNMG9nS0VJQ0FnSUN5NHZUWVpREAE; reviewBody; "The staff here are jokes .. it was only one good staff that I liked . The rest were very childish and rude."]
[ChdDSUhNMG9nS0VJQ0FnSUNxc3Rpa253RRAB; reviewBody; "My time at friends hospital was surprisingly phenomenal. I had worries about the places when i first arrived, but when i adapted everything was good. Staff are doing their job right, the place is clean and everyone is treated with proper treatment. I really was able to work on myself mentally and physically within my time being there. Its a great 10/10 place to go to if your having mental problems or just problems in general. I first got there and it only took a few hours to settle in and then i was comfortable. Ive always had a problem opening up and saying whats on my mind and now i cant even imagine that being a problem for me. I wanna say thank u to all of the staff and workers there. Some might remember me but seriously yall are doing good and keep it up because i might apply there soon. You wasnt too hard on us, environment is eye catching, I felt more safe then i did in my entire life honestly. I didn't know anything about friends hospital, i didn’t even know friends hospital was a thing but now I’m recommending and telling EVERYONE about it. Friends hospital is legit and they definitely helped me to become a bigger and better person overall. Keep it up yall, your doin good.   ~Issac Walker"]
[ChZDSUhNMG9nS0VJQ0FnSUMtcS0yMWN3EAE; reviewBody; """Horrible. Rooms are locked 8am-8pm. Techs working there are on their phones 24/7 and treated us like dogs. They got annoyed when we asked to use the bathroom when it was the LEAST they could do. Was in there for 13 days and left worse than when I entered. The doctor just wants you to stay longer to get your insurance money, there’s no therapy whatsoever or help. You’re expected to sit in a chair and watch TV all day till your room is finally unlocked. TerribleI had an eating disorder and the staff told me to “just eat” the whole time I was there. Dr. London told me she wanted to “help me” but triggered me more than actually helping me. She’d take you to court if you tried to leave to give you extra days just so she could get more money off of you. The only good tech was Jasmine, who actually did her job instead of complaining all day. Hire better people and SEPARATE the units more. I was in for suicide but was with alcoholics/addicts and it was a messI was downstairs for 4 days till I finally got a room. Ridiculous. It didn’t even help. This place is horrible and nobody should go here."""]
[ChdDSUhNMG9nS0VJQ0FnSUNjbGRTamt3RRAB; reviewBody; "BEST TRAINER AND MOTIVATOR IS GATOR! IDC WHAT ANYONE SAYS DO IT FOR THE COMPETITION OR DON'T DO IT AT ALL!!! GOD BLESS EVERYONE IN ROCK MINISTRIES."]
[ChdDSUhNMG9nS0VJQ0FnSUN4bXIzdDd3RRAB; reviewBody; "They will not give information about your loved one. They are degrading and belittling to you if you call nurse for info and never connect call to her.they hang up. Then they chastize patient over parents concerns.the tech's are crude, rude and evil.. there is no communication with people who don't listen ."]
[ChZDSUhNMG9nS0VJQ0FnSURvcF9pT1NnEAE; reviewBody; "great church, great people"]
[ChdDSUhNMG9nS0VJQ0FnSUNVeWVLMWdnRRAB; reviewBody; "I’ve know many people to graduate from Men & Women and all cane out fantastic!!! Excellent program and an fabulous staff of professionals for the best service attainable."]
[ChdDSUhNMG9nS0VJQ0FnSUNnOUw3ZHZBRRAB; reviewBody; "Great staff, sliding pay scale, by far the best for LGBT healthcare. Their new place is modern and spacious."]
[ChZDSUhNMG9nS0VJQ0FnSURPNzZ5M0NnEAE; reviewBody; "😎👍 …"]
[ChdDSUhNMG9nS0VJQ0FnSUQ2a1kzMmdBRRAB; reviewBody; "forced against law our side of restrictions a guidelines against will. within the same occurrence of proper assurance and insurance for repair. no safety in the hospital being in service for the health aid community within strict holistic jurisdiction. everyday i fear with in calm ability to stay safe tactically acting as a professional in the requirement to stay alive in fear of death in the brutality that took place."]
[ChdDSUhNMG9nS0VJQ0FnSUNRbXFxcnRRRRAB; reviewBody; "Great service and treatment and very respectful"]
[ChdDSUhNMG9nS0VJQ0FnSUMwdTZ6SXNnRRAB; reviewBody; "Great ministry to those in need. Compassionate staff."]
[ChdDSUhNMG9nS0VJQ0FnSUNJMll5RDlRRRAB; reviewBody; "Nice people,the BEST STAFF..."]
